DC,Nombre,Notas,Envase,Diseñador,Perfume
Dama,212AREA D-1,d-212-n.png,d-212-p.png,Carolina Herrera,212 Woman
Dama,AREA ICE D 212 ON ICE WOMEN,d-212onice-n.png,d-212onice-p.png,Carolina Herrera,212 On Ice
Dama,212 VIP ROSE,d-212rose-n.png,d-212rose-p.png,Carolina Herrera,212 VIP Rosé
Dama,ELIZ CORAL 360 CORAL,d-360coral-n.png,d-360coral-p.png,Perry Ellis,360 Coral
Dama,RED D 360 RED,d-360red-n.png,d-360red-p.png,Perry Ellis,360 Red
Dama,5TH AVENUE,d-5thave-n.png,d-5thave-p.png,Elizabeth Arden,5th Avenue
Dama,9AM AFMAN ,d-9am-n.png,d-9am-p.png,Afnan,9AM
Dama,A GIO D ACQUA DI GIO WOMAN,d-aquadio-n.png,d-aquadio-p.png,Giorgio Armani,Acqua di Gio
Dama,AMORE D AMOR AMOR,d-amoramor-n.png,d-amoramor-p.png,CACHAREL,Amor Amor
Dama,ANGE OU DEMON LE SECRET,d-angeoudemon-n.png,d-angeoudemon-p.png,Givenchy,Ange ou Demon
Dama,ANY D ANIMALE,d-animale-n.png,d-animale-p.png,Animale,Animale
Dama,POP DIVA D-2 ARI DE ARIANA GRANDE,d-ari-n.png,d-ari-p.png,Ariana Grande,Ari
Dama,CARAT 1 BACCARAT ROUGE,c-baccarat-n.png,c-baccarat-p.png,Maison Francis Kurkdjian,Baccarat Rouge 540
Dama,BE DELICIOUS DKNY,d-bedelicious-n.png,d-bedelicious-p.png,Donna Karan (DKNY),Be Delicious
Dama,BEBE CHER BEBE SHEER BEBE,d-bebe-n.png,d-bebe-p.png,Sheer,Bebe
Dama,BLACK OPIUM,d-blackopium-n.png,d-blackopium-p.png,Yves Saint Laurent,Black Opium
Dama,BLACK ORCHID,d-blackorchid-n.png,d-blackorchid-p.png,Tom Ford,Black Orchid
Dama,BOM WILL BOMBSHELL WILD FLOWER,d-bombshell-n.png,d-bombshell-p.png,Victoria's Secret,Bombshell
Dama,BON BON BONBON,d-bonbon-n.png,d-bonbon-p.png,Viktor & Rolf,Bon Bon
Dama,BORN IN ROMA EXTRADOSE DONNA BY VALENTINO (NUEVO),d-borninromadonna-n.png,d-borninromadonna-p.png,Valentino,Born in Roma Extradose Donna
Dama,BRIGHT CRYSTAL,d-brightcrystal-n.png,d-brightcrystal-p.png,Versace,Bright Crystal
Dama,Burberry,d-burberryher-n.png,d-burberryher-p.png,Burberry,Burberry Her
Dama,CAN D CAN CAN,d-cancan-n.png,d-cancan-p.png,Paris Hilton,Can Can
Dama,CAROL D CAROLINA HERRERA TRADICIONAL,d-carolinaherrera-n.png,d-carolinaherrera-p.png,Carolina Herrera,Carolina Herrera
Dama,CHANG CHANEL #5,d-chanel5-n.png,d-chanel5-p.png,Chanel,Chanel #5
Dama,PRIMERO 1 CK ONE (PRIMERA CALIDAD),d-ckone-n.png,d-ckone-p.png,Calvin Klein,CK One
Dama,WOMAN C.K. CK WOMANES,d-ckwomen-n.png,d-ckwomen-p.png,Calvin Klein,CK Women
Dama,CLO D-1 CLOUD,d-cloud-n.png,d-cloud-p.png,Ariana Grande,Cloud
Dama,СОСА СОСO СHANEL TRADICIONAL,d-coco-n.png,d-coco-n.png,Chanel,Coco Chanel
Dama,COLECCIÓN D-2 COCO MADEMOISELLE TRADICIONAL,d-cocomad-n.png,d-cocomad-p.png,Chanel,Coco Mademoiselle
Dama,COOL WATT D COOL WATER,d-coolw-n.png,d-coolw-p.png,Davidoff,Cool Water
Dama,AGUA CAR AGUA DE CARTIER/CARTIER UNISEX,c-cartier-n.png,c-cartier-p.png,Cartier ,Eau de Cartier
Dama,EMPOR D EMPORIO ARMANI TRADICIONAL,d-emporio-n.png,d-emporio-p.png,Giorgio Armani,Emporio
Dama,EVACION ESCAPE,d-escape-n.png,d-escape-p.png,Calvin Klein,Escape
Dama,ETER D ETERNITY TRADICIONAL,d-eternity-n.png,d-eternity-p.png,Calvin Klein,Eternity
Dama,FURIA D EUPHORIA,d-euphoria-n.png,d-euphoria-p.png,Calvin Klein,Euphoria
Dama,FANTASY FANTASY,d-fantasy-n.png,d-fantasy-p.png,Brtiney Spears,Fantasy
Dama,LACOSTE FEMME,d-femme-n.png,d-femme-p.png,Lacoste,Femme
Dama,FLOR GARDENIA GUCCI FLORA GARDENIA,d-floragardenia-n.png,d-floragardenia-n.png,Gucci,Flora Gardenia
Dama,DETY FLOR FLOWER BY KENZO,d-flowerkenzo-n.png,d-flowerkenzo-n.png,Kenzo,Flower
Dama,ZAPATILLA 1 GOOD GIRLS,d-goodgirl-n.png,d-goodgirl-p.png,Carolina Herrera,Good Girl
Dama,ZAPATILLA 1 GOOD GIRLS BLUSH,d-goodgirlblush-n.png,d-goodgirlblush-p.png,Carolina Herrera,Good Girl Blush
Dama,ALOWEN D HALLOWEEN,d-halloween-n.png,d-halloween-p.png,Jesus del Pozo,Halloween
Dama,AIRE D HEIRESS,d-heiress-n.png,d-heiress-p.png,Paris Hilton,Hieress
Dama,HUGO WOMAN CLASICO,d-hugowoman-n.png,d-hugowoman-p.png,Hugo Boss,Hugo Woman
Dama,JADORE TRADICIONAL,d-jadore-n.png,d-jadore-p.png,Chanel,J'adore
Dama, KILLER QUEEN,d-killerqueen-n.png,d-killerqueen-p.png,Katy Perry,Killer Queen
Dama,Rose for her,d-l1212rose-n.png,d-l1212rose-p.png,Lacoste,L.12.12 Rose For Her
Dama,La belle,d-labelle-n.png,d-labelle-p.png,Jean Paul Gaultier,La Belle
Dama,LA VIDA LA VIE EST BELLE,d-laviebelle-n.png,d-laviebelle-p.png,Lancôme,La vie est belle
Dama,MILLON D LADY MILLON,d-ladymillion-n.png,d-ladymillion-p.png,Paco Rabanne,Lady Million
Dama,GAVAN AZUL D 1 LIGHT BLUE (1era.),d-lightblue-n.png,d-lightblue-p.png,Dolce & Gabbana,Light Blue
